basin_cdec,cfs_cdec,cfs_usgs,county_cdec,data_collect_cdec,gage_oper_cdec,gelev_ft_cdec,group_cdec,hist_pkflow_usgs,id_cdec,id_nws,id_usgs,lat_cdec,lat_usgs,lon_cdec,lon_usgs,most_recent_cdec,most_recent_usgs,name_cdec,name_usgs,nearby_cty_cdec,nwsfloodstg_ft_usgs,stage_ft_usgs,state_usgs
NA,NA,9800,NA,NA,NA,NA,NA,210000,NA,HARO3,14166000,NA,44.27040126,NA,-123.1737036,NA,2019-05-31T07:00:00Z,NA,"Willamette River At Harrisburg, Or",NA,14,4.51,or
NA,NA,85.2,NA,NA,NA,NA,NA,6990,NA,NA,14166500,NA,44.04984478,NA,-123.4262097,NA,2019-05-31T06:15:00Z,NA,"Long Tom River Near Noti, Or",NA,NA,1.54,or
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14168000,NA,44.12067879,NA,-123.3012062,NA,2019-05-31T07:30:00Z,NA,"Fern Ridge Lake Near Elmira, Or",NA,NA,373.43,or
NA,NA,135,NA,NA,NA,NA,NA,11500,NA,NA,14169000,NA,44.12345657,NA,-123.2998173,NA,2019-05-31T06:00:00Z,NA,"Long Tom River Near Alvadore, Or",NA,NA,2.12,or
NA,NA,170,NA,NA,NA,NA,NA,19300,NA,MNRO3,14170000,NA,44.31290047,NA,-123.2964859,NA,2019-05-31T07:00:00Z,NA,"Long Tom River At Monroe, Or",NA,9,4.54,or
NA,NA,102,NA,NA,NA,NA,NA,13600,NA,PHIO3,14171000,NA,44.525,NA,-123.334,NA,2019-05-31T07:00:00Z,NA,"Marys River Near Philomath, Or",NA,20,3.22,or
NA,NA,10200,NA,NA,NA,NA,NA,77100,NA,CORO3,14171600,NA,44.5663611,NA,-123.2568056,NA,2019-05-31T07:15:00Z,NA,"Willamette River At Corvallis, Or",NA,30,12.75,or
NA,NA,10500,NA,NA,NA,NA,NA,340000,NA,ALBO3,14174000,NA,44.6387328,NA,-123.1067616,NA,2019-05-31T07:00:00Z,NA,"Willamette River At Albany, Or",NA,25,5.56,or
NA,NA,833,NA,NA,NA,NA,NA,26700,NA,NA,14178000,NA,44.7067885,NA,-122.1011859,NA,2019-05-31T06:15:00Z,NA,"No Santiam R Blw Boulder Crk, Nr Detroit, Or",NA,NA,3.55,or
NA,NA,429,NA,NA,NA,NA,NA,16900,NA,NA,14179000,NA,44.75262179,NA,-122.1289648,NA,2019-05-31T06:15:00Z,NA,"Breitenbush R Abv French Cr Nr Detroit, Or.",NA,NA,3.48,or
NA,NA,22.6,NA,NA,NA,NA,NA,3400,NA,NA,14180300,NA,44.65289999,NA,-122.130908,NA,2019-05-31T07:15:00Z,NA,"Blowout Creek Near Detroit, Or",NA,NA,3.42,or
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14180500,NA,44.7220611,NA,-122.2500583,NA,2019-05-31T07:15:00Z,NA,"Detroit Lake Near Detroit, Or",NA,NA,1562.67,or
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14180510,NA,44.722,NA,-122.251,NA,2019-05-31T07:15:00Z,NA,"Detroit Dam Tailwater Near Detroit, Or",NA,NA,1200.21,or
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14181400,NA,44.7511472,NA,-122.282811,NA,2019-05-31T07:30:00Z,NA,"Big Cliff Lake Near Niagara, Or",NA,NA,1193.31,or
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14181410,NA,44.7514861,NA,-122.2833778,NA,2019-05-31T07:30:00Z,NA,"Big Cliff Dam Tailwater Near Niagara, Or",NA,NA,1109.72,or
NA,NA,1560,NA,NA,NA,NA,NA,63200,NA,NA,14181500,NA,44.75377778,NA,-122.2974444,NA,2019-05-31T06:45:00Z,NA,"North Santiam River At Niagara, Or",NA,NA,3.44,or
NA,NA,177,NA,NA,NA,NA,NA,36000,NA,NA,14182500,NA,44.7915108,NA,-122.5789738,NA,2019-05-31T06:15:00Z,NA,"Little North Santiam River Near Mehama, Or",NA,NA,3.33,or
NA,NA,2170,NA,NA,NA,NA,NA,76600,NA,MEHO3,14183000,NA,44.7890109,NA,-122.6186967,NA,2019-05-31T07:00:00Z,NA,"North Santiam River At Mehama, Or",NA,11,3.86,or
NA,NA,1770,NA,NA,NA,NA,NA,30700,NA,NSGO3,14184100,NA,44.70789976,NA,-122.9728698,NA,2019-05-31T06:45:00Z,NA,"North Santiam R At Greens Bridge, Nr Jefferson, Or",NA,NA,14.99,or
NA,NA,230,NA,NA,NA,NA,NA,31700,NA,NA,14185000,NA,44.39179225,NA,-122.4975817,NA,2019-05-31T07:01:00Z,NA,"South Santiam River Below Cascadia, Or",NA,NA,2.83,or
NA,NA,NA,NA,NA,NA,NA,NA,22900,NA,NA,14185800,NA,44.5151239,NA,-122.3720249,NA,2019-05-31T07:15:00Z,NA,"Middle Santiam R Near Cascadia, Or",NA,NA,2.08,or
NA,NA,117,NA,NA,NA,NA,NA,36500,NA,NA,14185900,NA,44.54012357,NA,-122.4359155,NA,2019-05-31T06:15:00Z,NA,"Quartzville Creek Near Cascadia, Or",NA,NA,3.67,or
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14186100,NA,44.45,NA,-122.549,NA,2019-05-31T07:15:00Z,NA,"Green Peter Lake Near Foster, Or",NA,NA,995.18,or
